;Paper;Name;Latitude;Longitude;Mean basin elevation (m);Basin Relief (m);Basin Area (km2);Mean Latutide (dec. Deg.);Mean Longitude (dec. Deg);Effective basin elevation (m);Mean Basin slope;Rock type;Mean annual precipitation (mm/yr);Mean annual Temperature (C);% Vegetation;Seismicity;Seismic regime;Climate zone main;Cronus erosion rate (m/My);Cronus erosion rate error (m/My)
331;Duxbury, 2008;SH-12;38,615;-78,257;693;819;14,19;38,624;-78,257;702.0;15,1;Igneous;1145.0;9.0;80.0;0,2428;No;Temperate;14,24;1,11
332;Duxbury, 2008;SH-13;38,543;-78,273;518;648;1,79;38,549;-78,273;321.0;10,8;Igneous;1112.0;10.0;80.0;0,2428;No;Temperate;9,99;0,77
333;Duxbury, 2008;SH-14;38,527;-78,279;281;246;0,96;38,528;-78,279;470.0;15,7;Igneous;1053.0;11.0;80.0;0,2428;No;Temperate;15,66;1,32
334;Duxbury, 2008;SH-15;38,521;-78,29;430;630;5,97;38,522;-78,29;440.0;16,4;Igneous;1085.0;11.0;80.0;0,246891;No;Temperate;11,87;0,91
335;Duxbury, 2008;SH-16;38,542;-78,352;875;857;13,8;38,568;-78,352;890.0;13,7;Metamorphic;1197.0;8.0;80.0;0,2428;No;Temperate;21,31;1,61
336;Duxbury, 2008;SH-17;38,78;-78,366;480;687;9,28;38,773;-78,366;489.0;15;Mixed;1026.0;10.0;75.0;0,2428;No;Temperate;4,37;0,37
337;Duxbury, 2008;SH-18*;38,664;-78,356;617;453;2,83;38,665;-78,356;605.0;11,9;Metamorphic;1084.0;10.0;74.0;0,2428;No;Temperate;4,6;0,39
338;Duxbury, 2008;SH-19;38,471;-78,498;828;702;11,49;38,487;-78,498;836.0;15,9;Metamorphic;1173.0;9.0;78.0;0,246891;No;Temperate;12,27;0,96
339;Duxbury, 2008;SH-20;38,357;-78,662;572;497;1,61;38,341;-78,662;569.0;16,8;Metamorphic;1067.0;10.0;75.0;0,246891;No;Temperate;6,08;0,5
340;Duxbury, 2008;SH-21;38,645;-78,369;699;666;5,65;38,63;-78,369;707.0;19,2;Igneous;1101.0;10.0;79.0;0,2428;No;Temperate;13,27;1,02
341;Duxbury, 2008;SH-22;38,61;-78,418;517;727;2,66;38,607;-78,418;507.0;14,3;Igneous;1031.0;11.0;39.0;0,2428;No;Temperate;7,67;0,61
342;Duxbury, 2008;SH-23;38,869;-78,178;494;503;18,73;38,853;-78,178;497.0;12,5;Mixed;1053.0;10.0;73.0;0,2428;No;Temperate;16,2;1,22
343;Duxbury, 2008;SH-24;38,166;-78,745;726;471;3,65;38,171;-78,745;730.0;19,7;Mixed;1160.0;10.0;79.0;0,226691;No;Temperate;11,58;0,92
344;Duxbury, 2008;SH-25;38,148;-78,749;709;657;25,22;38,185;-78,749;714.0;17,3;Metamorphic;1147.0;10.0;73.0;0,226691;No;Temperate;7,92;0,73
345;Duxbury, 2008;SH-26;38,293;-78,621;795;382;2,48;38,298;-78,621;797.0;13,9;Metamorphic;1158.0;9.0;80.0;0,246891;No;Temperate;10,01;0,79
346;Duxbury, 2008;SH-27;38,1;-78,804;658;405;3,44;38,112;-78,804;636.0;16,6;Sedimentary;1144.0;10.0;70.0;0,226691;No;Temperate;5,15;0,43
347;Duxbury, 2008;SH-28;38,099;-78,804;632;417;5,7;38,112;-78,804;636.0;16,6;Sedimentary;1127.0;10.0;73.0;0,226691;No;Temperate;5,63;0,46
348;Duxbury, 2008;SH-29;38,109;-78,828;479;23;0,01;38,109;-78,828;584.0;14;Metamorphic;1081.0;11.0;80.0;0,226691;No;Temperate;3,82;0,33
349;Duxbury, 2008;SH-30;38,178;-78,789;767;240;0,8;38,182;-78,789;778.0;15,3;Metamorphic;1137.0;10.0;78.0;0,226691;No;Temperate;6,31;0,52
350;Duxbury, 2008;SH-31;38,16;-78,803;726;445;8,47;38,17;-78,803;728.0;18,4;Mixed;1128.0;10.0;78.0;0,226691;No;Temperate;7,03;0,57
351;Duxbury, 2008;SH-32;38,31;-78,727;474;332;1,05;38,303;-78,727;472.0;10,8;Metamorphic;1030.0;11.0;80.0;0,226691;No;Temperate;4,13;0,35
352;Duxbury, 2008;SH-33;38,311;-78,726;468;339;1,11;38,303;-78,726;467.0;10,6;Mixed;1030.0;11.0;80.0;0,226691;No;Temperate;4,25;0,36
353;Duxbury, 2008;SH-34;38,173;-78,809;628;275;0,4;38,172;-78,809;616.0;17,9;Metamorphic;1097.0;10.0;75.0;0,226691;No;Temperate;14,65;1,11
354;Duxbury, 2008;SH-35;38,176;-78,807;541;133;0,04;38,176;-78,807;555.0;16,6;Metamorphic;1097.0;10.0;75.0;0,226691;No;Temperate;5,26;0,48
355;Duxbury, 2008;SH-36;38,178;-78,806;648;253;0,19;38,176;-78,806;645.0;19,9;Metamorphic;1095.0;11.0;74.0;0,226691;No;Temperate;9,1;0,74
356;Duxbury, 2008;SH-37;38,252;-78,747;610;420;1,59;38,257;-78,747;620.0;19,6;Sedimentary;1077.0;10.0;80.0;0,226691;No;Temperate;7,74;0,62
357;Duxbury, 2008;SH-38;38,257;-78,769;643;600;15,12;38,244;-78,769;647.0;19,2;Mixed;1098.0;10.0;79.0;0,226691;No;Temperate;8,27;0,66
358;Duxbury, 2008;SH-39;38,222;-78,781;751;505;3,06;38,222;-78,781;756.0;24,4;Sedimentary;1122.0;10.0;75.0;0,226691;No;Temperate;8,62;0,82
359;Duxbury, 2008;SH-40;38,239;-78,691;808;488;3,37;38,244;-78,691;815.0;15,1;Metamorphic;1159.0;9.0;80.0;0,246891;No;Temperate;7,47;0,61
360;Duxbury, 2008;SH-41**;38,178;-78,806;646;251;0,18;38,176;-78,806;639.0;19,8;Metamorphic;1095.0;11.0;74.0;0,226691;No;Temperate;7,62;0,61
361;Duxbury, 2008;SH-42;38,16;-78,785;791;300;0,58;38,158;-78,785;788.0;19,5;Sedimentary;1162.0;10.0;79.0;0,226691;No;Temperate;14,36;1,1
362;Duxbury, 2008;SH-43;38,363;-78,574;639;372;2,12;38,359;-78,574;640.0;13,9;Mixed;1117.0;10.0;80.0;0,246891;No;Temperate;13,69;1,05
363;Duxbury, 2008;SH-44;38,341;-78,457;268;105;1,26;38,353;-78,457;269.0;5,7;Mixed;1074.0;12.0;80.0;0,246891;No;Temperate;8,48;0,68
364;Duxbury, 2008;SH-45;38,523;-78,265;259;246;4,14;38,514;-78,265;258.0;11,3;Igneous;1056.0;12.0;68.0;0,246891;No;Temperate;8,78;0,69
365;Duxbury, 2008;SH-46;38,642;-78,246;442;365;1,58;38,639;-78,246;442.0;17;Igneous;1073.0;10.0;80.0;0,2428;No;Temperate;19,06;1,43
366;Duxbury, 2008;SH-47;38,647;-78,209;301;448;12,48;38,638;-78,209;304.0;11;Igneous;1045.0;11.0;63.0;0,2428;No;Temperate;11,61;0,88
367;Duxbury, 2008;SH-48;38,838;-78,106;397;535;16,85;38,854;-78,106;403.0;10,6;Mixed;1045.0;10.0;77.0;0,2428;No;Temperate;13,07;0,99
368;Duxbury, 2008;SH-49;38,927;-78,176;277;332;10,88;38,906;-78,176;277.0;8;Mixed;1000.0;11.0;51.0;0,2428;No;Temperate;3,02;0,27
369;Duxbury, 2008;SH-50;38,819;-78,208;520;354;0,35;38,816;-78,208;508.0;15;Igneous;1054.0;10.0;77.0;0,2428;No;Temperate;6,99;0,56
370;Duxbury, 2008;SH-51;38,796;-78,239;557;658;4,51;38,782;-78,239;562.0;15,1;Igneous;1070.0;10.0;80.0;0,2428;No;Temperate;10,35;0,81
371;Duxbury, 2008;SH-52;38,811;-78,234;572;776;22,91;38,782;-78,234;583.0;14,6;Igneous;1069.0;10.0;79.0;0,2428;No;Temperate;11,33;0,88
372;Duxbury, 2008;SH-54;38,29;-78,724;679;355;1,78;38,285;-78,724;679.0;22,4;Sedimentary;1104.0;10.0;79.0;0,226691;No;Temperate;14,25;1,1
373;Duxbury, 2008;SH-56;38,532;-78,603;529;980;3305,62;38,276;-78,603;634.0;8,7;Mixed;1026.0;10.0;48.0;0,226691;No;Temperate;6,59;0,54
375;Ferrier et al., 2005;NFC;39,361;-123,736;224;225;5,02;39,368;-123,736;224.0;14,1;Sedimentary;1184.0;11.0;80.0;5,246615;Yes;Temperate;165,24;14,7
376;Ferrier et al., 2005;SFC;39,343;-123,754;187;269;4,22;39,339;-123,754;188.0;13,5;Sedimentary;1170.0;11.0;80.0;5,246615;Yes;Temperate;112,29;11,54
377;Ferrier et al., 2005;C;39,366;-123,73;235;160;0,3;38,368;-123,73;239.0;14,6;Sedimentary;1226.0;11.0;80.0;5,246615;Yes;Temperate;153,74;13,88
378;Ferrier et al., 2005;E;39,364;-123,718;257;167;0,41;39,364;-123,718;251.0;16,9;Sedimentary;1184.0;11.0;80.0;5,246615;Yes;Temperate;107,43;9,68
379;Ferrier et al., 2005;H;39,373;-123,721;246;113;0,18;39,375;-123,721;250.0;12,4;Sedimentary;1189.0;11.0;80.0;5,246615;Yes;Temperate;158,63;14,1
380;Ferrier et al., 2005;I;39,373;-123,718;262;155;0,21;39,37;-123,718;257.0;14,3;Sedimentary;1181.0;11.0;80.0;5,246615;Yes;Temperate;120,11;15,43
381;Ferrier et al., 2005;COY;41,117;-123,913;607;840;20,39;41,125;-123,913;617.0;16,2;Mixed;1534.0;10.0;74.0;1,03151;No;Temperate;270,2;32,37
382;Ferrier et al., 2005;LLM;41,322;-124,02;457;600;8,37;41,296;-124,02;459.0;13,2;Mixed;1678.0;10.0;80.0;1,894857;No;Temperate;208,76;21,17
383;Ferrier et al., 2005;ORK;41,289;-124,06;575;1619;720,45;41,06;-124,06;614.0;15,6;Mixed;1554.0;10.0;78.0;1,886735;No;Temperate;644,5;63,89
384;Ferrier et al., 2005;PAN;41,088;-123,908;504;662;15,52;41,071;-123,908;512.0;16;Mixed;1542.0;10.0;80.0;1,03151;No;Temperate;335,84;30,12
386;Finnegan et al., 2008, Namche Barwa;MEDOC;29,326;95,312;4800;6828;238996;29,659;90,007;4868.0;8,4;Metamorphic;355.0;-1.0;10.0;2,872145;Yes;Temperate;290,94;25,32
387;Finnegan et al., 2008, Namche Barwa;NB-13-02;29,909;95,514;3082;1182;18,79;29,898;95,529;3150.0;18,3;Metamorphic;591.0;3.0;17.0;1,278843;No;Temperate;1314,12;110,74
388;Finnegan et al., 2008, Namche Barwa;NB-14-02;29,947;95,411;4126;2688;9,96;29,966;95,425;4204.0;13,6;Metamorphic;836.0;9.0;55.0;1,278843;No;Temperate;2814,94;246,51
389;Finnegan et al., 2008, Namche Barwa;NB-23-02;30,102;95,111;4008;2461;23,88;30,134;95,141;3995.0;19;Metamorphic;561.0;2.0;12.0;0,640759;No;Cold;2695,4;290,42
390;Finnegan et al., 2008, Namche Barwa;NB-3-04;30,096;95,066;4525;4638;11660,7;29,943;95,926;4629.0;9,7;Metamorphic;598.0;1.0;17.0;1,412372;No;Temperate;1887,4;172,56
391;Finnegan et al., 2008, Namche Barwa;NB-4-04;30,097;95,065;4753;4584;13407,9;30,557;94,046;4831.0;14,2;Metamorphic;475.0;-1.0;15.0;0,946107;No;Cold;2377,23;214,58
392;Finnegan et al., 2008, Namche Barwa;NB-5-02;30,066;95,18;3918;1944;14,02;30,112;95,194;3795.0;13;Metamorphic;594.0;3.0;16.0;0,640759;No;Cold;1820,59;183,25
393;Finnegan et al., 2008, Namche Barwa;NB-5-04;29,945;94,804;4162;2470;741,21;29,745;94,713;4199.0;10,4;Metamorphic;526.0;3.0;41.0;0,675034;No;Temperate;270,53;23,81
394;Finnegan et al., 2008, Namche Barwa;NB-6-04;29,948;94,801;4347;3349;1676,39;30,032;94,546;4392.0;14,3;Metamorphic;504.0;2.0;28.0;0,675034;No;Arid;1613,11;144,78
395;Finnegan et al., 2008, Namche Barwa;NB-7-02;30,045;95,263;3867;2519;12,04;30,069;95,267;3882.0;21,6;Metamorphic;599.0;3.0;18.0;0,640759;No;Temperate;4151,28;385,18
396;Finnegan et al., 2008, Namche Barwa;NB-7-04;29,71;94,328;4673;3447;17650,5;29,924;93,442;4727.0;11,3;Metamorphic;391.0;0.0;20.0;1,246329;No;Arid;223,69;19,04
397;Finnegan et al., 2008, Namche Barwa;NB-8-04;29,604;94,937;4866;4253;205004;29,581;89,178;4918.0;7,5;Metamorphic;316.0;-1.0;9.0;3,128824;Yes;Temperate;119;11,49
398;Finnegan et al., 2008, Namche Barwa;P-6-02;29,95;95,383;4295;1872;5,86;29,98;95,398;4382.0;22,9;Metamorphic;571.0;2.0;23.0;1,278843;No;Temperate;3557,75;336,1
400;Godard et al., 2010;LM253;31,057;103,485;3545;4936;1730,75;31,068;103,107;3704.0;31,3;Sedimentary;1052.0;3.0;25.0;0,995482;No;Temperate;641,21;139,46
401;Godard et al., 2010;SC082;31,057;103,485;3545;4936;1730,75;31,068;103,107;3704.0;31,3;Sedimentary;1052.0;3.0;25.0;0,995482;No;Temperate;588,89;118,46
402;Godard et al., 2010;LM254;31,059;103,488;3491;4623;20045,9;32,078;103,286;3596.0;27,7;Sedimentary;888.0;3.0;48.0;1,107304;No;Temperate;802,25;64,97
403;Godard et al., 2010;SC086;31,059;103,488;3491;4623;20045,9;32,078;103,286;3596.0;27,7;Sedimentary;888.0;3.0;48.0;1,107304;No;Temperate;802,25;64,97
404;Godard et al., 2010;LM259;31,488;103,58;3622;4157;4612,89;31,575;103,049;3743.0;31,4;Sedimentary;952.0;3.0;52.0;1,130903;No;Temperate;820,78;189,61
405;Godard et al., 2010;LM261;31,494;103,62;3523;3957;14110,8;32,311;103,347;3606.0;26,1;Sedimentary;858.0;3.0;47.0;1,091572;No;Cold;803,76;152,06
406;Godard et al., 2010;LM263;31,284;103,467;3526;4351;19203;32,114;103,281;3622.0;27,5;Sedimentary;884.0;3.0;48.0;1,107304;No;Temperate;804,45;165,46
407;Godard et al., 2010;SC004;30,761;103,469;1850;3222;340,61;30,787;103,299;1963.0;30,6;Sedimentary;1077.0;11.0;16.0;1,659401;No;Temperate;588,64;205,24
408;Godard et al., 2010;SC016;31,237;103,792;2637;3751;336,28;31,337;103,803;2819.0;22,2;Sedimentary;1044.0;7.0;11.0;4,238675;Yes;Temperate;684,61;194,75
409;Godard et al., 2010;SC031;31,46;104,001;3042;3929;314,31;31,499;103,915;3169.0;23,4;Sedimentary;1051.0;4.0;18.0;1,416765;No;Temperate;758,36;229,78
410;Godard et al., 2010;SC033;31,318;103,996;1419;1466;58,47;31,314;103,939;1448.0;22,4;Sedimentary;994.0;12.0;6.0;4,238675;Yes;Temperate;609,07;136,2
411;Godard et al., 2010;SC049;31,704;103,853;3560;3764;13447,8;32,348;103,327;3633.0;26;Sedimentary;852.0;3.0;48.0;1,091572;No;Cold;807,52;144,43
412;Godard et al., 2010;SC059;31,066;103,493;1520;1226;5,22;31,071;103,508;1535.0;29,7;Sedimentary;1040.0;13.0;26.0;1,130903;No;Temperate;583,41;98,32
413;Godard et al., 2010;SC071;31,516;104,113;2333;3526;316,94;31,599;104,042;2490.0;27;Sedimentary;977.0;8.0;18.0;1,416765;No;Temperate;677,9;259,52
415;Granger et al., 1996;A-1;40,094;-120,06;1554;190;0,11;40,088;-120,061;1557.0;16,5;Igneous;314.0;8.0;5.0;1,400702;No;Arid;33,31;3,2
416;Granger et al., 1996;A-2;40,094;-120,06;1508;328;0,41;40,098;-120,062;1518.0;14,4;Igneous;314.0;8.0;5.0;1,400702;No;Arid;25,42;2,27
417;Granger et al., 1996;A-3;40,094;-120,06;1387;418;0,87;40,094;-120,06;1397.0;11,3;Igneous;314.0;9.0;5.0;1,400702;No;Arid;54,86;4,94
418;Granger et al., 1996;A-4;40,094;-120,06;1383;419;0,91;40,095;-120,06;1390.0;11,1;Igneous;314.0;9.0;5.0;1,400702;No;Arid;77,37;8,07
419;Granger et al., 1996;B-1;40,095;-120,065;1562;68;0,1;40,085;-120,065;1564.0;6,5;Igneous;314.0;8.0;5.0;1,400702;No;Arid;23,35;2,04
420;Granger et al., 1996;B-2;40,095;-120,065;1533;146;0,27;40,087;-120,066;1537.0;8,5;Igneous;315.0;8.0;5.0;1,400702;No;Arid;35;3,88
421;Granger et al., 1996;B-3;40,095;-120,065;1487;235;0,67;40,09;-120,067;1490.0;11,6;Igneous;314.0;9.0;5.0;1,400702;No;Arid;45,77;5,15
422;Granger et al., 1996;B-4;40,095;-120,065;1320;220;0,2;40,1;-120,067;1327.0;10;Igneous;317.0;10.0;5.0;1,400702;No;Arid;31,52;3,92
423;Granger et al., 1996;B-5;40,095;-120,065;1365;373;1,58;40,1;-120,065;1372.0;8,7;Igneous;316.0;9.0;5.0;1,400702;No;Arid;48,65;5,26
425;Guralnik et al., 2010;N4-N-SC;30,487;34,938;555;300;16,25;30,509;34,92;557.0;8,6;Sedimentary;120.0;18.0;0.0;1,308806;No;Arid;14,87;1,41
426;Guralnik et al., 2010;N4-R-SD;30,6;34,937;594;619;214,45;30,599;34,826;599.0;5,8;Sedimentary;139.0;18.0;0.0;1,308806;No;Arid;29,95;2,52
427;Guralnik et al., 2010;N4-NR-SD;30,591;34,943;604;637;343,48;30,576;34,83;609.0;5,7;Sedimentary;136.0;18.0;0.0;1,308806;No;Arid;31,97;3,68
428;Guralnik et al., 2010;N1-SD;30,662;35,107;512;946;797,63;30,548;34,903;518.0;6,4;Sedimentary;119.0;19.0;0.0;1,308806;No;Arid;43,05;3,68
430;Harkins et al., 2010;NH-KE-04-2;34,1;100,761;3865;335;2,64;35,065;100,868;3867.0;15,7;Metamorphic;508.0;-2.0;5.0;1,314426;No;Cold;57,81;4,88
431;Harkins et al., 2010;NH-KE-04-3;34,898;100,885;3951;328;1,68;34,911;100,885;3952.0;14,8;Metamorphic;532.0;-3.0;20.0;1,561187;No;Cold;53,73;4,46
432;Harkins et al., 2010;NH-KE-04-4;34,798;100,811;3704;438;0,97;34,799;100,803;3706.0;23,9;Metamorphic;515.0;-1.0;5.0;1,561187;No;Cold;77,85;6,49
433;Harkins et al., 2010;NH-KCB-05-1;34,777;100,813;3760;621;1,73;34,779;100,797;3764.0;26,7;Metamorphic;522.0;-1.0;59.0;1,561187;No;Cold;80,69;6,99
434;Harkins et al., 2010;KH-KCB-05-3;34,526;100,394;4167;746;7,87;34,509;100,391;4173.0;19,7;Metamorphic;527.0;-3.0;11.0;1,580397;No;Polar;76,89;13,22
435;Harkins et al., 2010;NH-KCB-05-2;34,752;99,693;4295;979;3,85;34,751;99,718;4302.0;23,4;Metamorphic;458.0;-4.0;15.0;0,879949;No;Polar;100,2;8,99
436;Harkins et al., 2010;NH-KCB-05-6;33,693;101,388;3929;822;3,82;33,707;101,398;3935.0;23,2;Metamorphic;662.0;0.0;13.0;0,705727;No;Cold;64,69;5,8
438;Heimsath et al., 1999;creek1;37,85;-122,55;220;153;0,18;37,86;-122,552;213.0;14,4;Sedimentary;920.0;13.0;30.0;3,580593;Yes;Temperate;79,2;8,69
439;Heimsath et al., 1999;creek2;37,85;-122,55;238;177;0,24;37,865;-122,55;230.0;15,6;Sedimentary;920.0;13.0;30.0;3,580593;Yes;Temperate;125,3;17,55
441;Heimsath et al., 2001;OR-16;43,469;-124,113;296;345;3,59;43,472;-124,099;299.0;21,1;Sedimentary;1748.0;10.0;80.0;2,343948;Yes;Temperate;99,49;11,1
442;Heimsath et al., 2001;FH-19;-36;149,5;1121;557;135,82;-35,976;149,436;1123.0;5,7;Mixed;828.0;10.0;45.0;0,927587;No;Temperate;31,41;2,44
443;Heimsath et al., 2001;FH-20;-36;149,5;937;70;0,08;-35,98;149,396;937.0;7,3;Mixed;828.0;10.0;5.0;0,927587;No;Temperate;28,66;2,25
445;Heimsath et al., 2006;NR-32;-36,667;150;1005;251;5,98;-36,636;149,425;1007.0;6,7;Igneous;801.0;9.0;80.0;0,876407;No;Temperate;28,46;2,45
446;Heimsath et al., 2006;NR-33;-36,667;150;1005;251;5,98;-36,636;149,425;1007.0;6,7;Igneous;801.0;9.0;80.0;0,876407;No;Temperate;29,3;2,54
447;Heimsath et al., 2006;NR-38;-36,667;150;1018;239;4,66;-36,636;149,421;1020.0;6,9;Igneous;804.0;9.0;80.0;0,876407;No;Temperate;24,63;2,62
448;Heimsath et al., 2006;NR-58;-36,667;150;919;864;23,17;-36,629;149,44;929.0;9;Igneous;801.0;10.0;80.0;0,876407;No;Temperate;48,37;4,89
449;Heimsath et al., 2006;NR-60;-36,667;150;919;864;23,17;-36,629;149,44;929.0;9;Igneous;801.0;10.0;80.0;0,876407;No;Temperate;92,44;7,71
450;Heimsath et al., 2006;NR-61;-36,667;150;919;858;23,15;-36,629;149,44;931.0;9;Igneous;801.0;10.0;80.0;0,876407;No;Temperate;119,44;15,56
451;Heimsath et al., 2006;NR-62;-36,667;150;919;858;23,15;-36,629;149,44;931.0;9;Igneous;801.0;10.0;80.0;0,876407;No;Temperate;42,07;3,99
452;Heimsath et al., 2006;NR-65;-36,667;150;974;710;19,62;-36,631;149,435;977.0;7,7;Igneous;799.0;10.0;80.0;0,876407;No;Temperate;84,56;8,71
454;Heimsath et al., 2009;TC-17;-12,469;133,297;133;111;1,65;-12,479;133,294;132.0;6,5;Sedimentary;1408.0;27.0;29.0;0,657247;No;Tropical;22,83;2,21
455;Heimsath et al., 2009;TC-18;-12,477;133,296;142;78;0,26;-12,479;133,296;142.0;9,4;Sedimentary;1407.0;27.0;30.0;0,657247;No;Tropical;18,51;1,65
456;Heimsath et al., 2009;TC-20;-12,459;133,289;121;151;11,93;-12,478;133,284;120.0;4,2;Sedimentary;1407.0;27.0;28.0;0,657247;No;Tropical;51,88;5,62
457;Heimsath et al., 2009;TC-21;-12,455;133,288;119;157;12,48;-12,477;133,285;120.0;4,1;Sedimentary;1407.0;27.0;28.0;0,657247;No;Tropical;40,42;3,82
458;Heimsath et al., 2009;TC-22/23;-12,453;133,27;216;332;387,33;-12,499;133,364;216.0;4;Sedimentary;1405.0;26.0;19.0;0,657247;No;Tropical;10,09;1,75
459;Heimsath et al., 2009;TC-6;-12,463;133,305;134;104;0,33;-12,465;133,309;134.0;7,7;Sedimentary;1401.0;27.0;22.0;0,657247;No;Tropical;21,85;2,08
460;Heimsath et al., 2009;TC-7;-12,467;133,301;128;119;0,3;-12,47;133,303;130.0;7,9;Sedimentary;1398.0;27.0;24.0;0,657247;No;Tropical;21,03;1,68
461;Heimsath et al., 2009;TC-8;-12,466;133,3;118;125;0,43;-12,469;133,302;117.0;6,4;Sedimentary;1398.0;27.0;24.0;0,657247;No;Tropical;29,47;2,63
463;Heimsath et al., 2010, Australia;MD-108;-23,592;132,57;1039;558;0,63;-23,586;132,575;1048.0;23,1;Sedimentary;355.0;19.0;5.0;0,884423;No;Arid;0,57;0,08
464;Heimsath et al., 2010, Australia;MD-109;-23,59;132,561;945;541;0,44;-23,584;132,565;954.0;20,2;Sedimentary;396.0;18.0;5.0;0,884423;No;Arid;3,61;0,47
465;Heimsath et al., 2010, Australia;MD-110;-23,591;132,536;821;678;212,44;-23,514;132,555;823.0;5;Sedimentary;327.0;20.0;5.0;0,884423;No;Arid;0,75;0,12
466;Heimsath et al., 2010, Australia;MD-111;-23,661;132,364;812;31;0,82;-23,666;132,364;812.0;2,8;Metamorphic;329.0;20.0;5.0;0,884423;No;Arid;7,45;1,47
467;Heimsath et al., 2010, Australia;MD-119;-23,699;132,355;792;130;10;-23,685;132,362;792.0;2,9;Metamorphic;326.0;20.0;5.0;0,884423;No;Arid;7,7;1,47
469;Henck et al., 2011, China;06-3R-52-SAL;29,78;96,71;4889;1362;337,41;29,716;96,875;4917.0;3,7;Mixed;561.0;-3.0;1.0;1,065464;No;Temperate;189,01;18,5
470;Henck et al., 2011, China;06-3R-53-SAL;29,78;96,71;4833;1405;680,09;29,708;96,821;4859.0;3,3;Mixed;563.0;-3.0;2.0;1,065464;No;Temperate;458,49;47,79
471;Henck et al., 2011, China;06-3R-50-SAL;30,04;97,15;3924;2359;319,63;29,923;97,107;3958.0;5,5;Mixed;573.0;0.0;16.0;0,831404;No;Temperate;321,66;31,02
472;Henck et al., 2011, China;06-3R-49-SAL;30,11;97,19;4516;2877;2654,8;29,879;96,84;4655.0;6,3;Mixed;567.0;-1.0;7.0;1,065464;No;Temperate;202,72;18,77
473;Henck et al., 2011, China;06-3R-48-SAL;30,1;97,21;4749;3908;86276,6;31,452;93,937;4779.0;7,2;Mixed;476.0;-2.0;9.0;2,062488;Yes;Polar;64,8;5,59
474;Henck et al., 2011, China;06-3R-46-SAL;30,1;97,3;4283;2092;71,23;30,111;97,317;4324.0;14,4;Mixed;552.0;2.0;7.0;0,597344;No;Temperate;109,78;10,05
475;Henck et al., 2011, China;06-3R-30-SAL;30,6;97,07;4754;1299;2094,88;30,726;96,826;4767.0;6;Mixed;533.0;-1.0;5.0;1,064388;No;Cold;23,64;2,1
476;Henck et al., 2011, China;06-3R-32-SAL;30,2;97,32;4739;1543;3251,78;30,615;96,947;4756.0;6,3;Mixed;533.0;-1.0;5.0;1,116527;No;Cold;22,98;2,02
477;Henck et al., 2011, China;06-3R-33-SAL;29,85;97,69;4740;1330;265,41;29,908;97,782;4756.0;6,3;Mixed;551.0;-1.0;6.0;0,664391;No;Temperate;30,95;2,76
478;Henck et al., 2011, China;06-3R-34-SAL;29,74;97,76;4612;1435;1452,81;29,95;97,662;4634.0;6,7;Mixed;548.0;0.0;6.0;0,597344;No;Temperate;41,89;3,6
479;Henck et al., 2011, China;06-3R-35-SAL;29,68;97,83;4667;1281;105,72;29,761;97,875;4684.0;6,8;Mixed;553.0;0.0;5.0;0,731437;No;Temperate;37,64;3,47
480;Henck et al., 2011, China;06-3R-36-SAL;29,67;97,85;4590;1600;2194,35;29,851;97,742;4614.0;7;Mixed;552.0;0.0;7.0;0,597344;No;Temperate;25,33;2,17
481;Henck et al., 2011, China;05-3R-9-SAL;28,02;98,63;4649;5142;106681;31,074;94,658;4711.0;7.o04453;Mixed;504.0;-1.0;11.0;1,859234;No;Polar;94,8;8,07
482;Henck et al., 2011, China;05-3R-10-SAL;27,58;98,79;4624;5259;108381;31,02;94,723;4696.0;8;Mixed;512.0;-1.0;11.0;1,859234;No;Polar;114,21;9,85
483;Henck et al., 2011, China;05-3R-11a-SAL;27,23;98,89;2061;800;2,29;27,229;98,879;2092.0;19;Mixed;1473.0;15.0;60.0;1,514434;No;Temperate;76,24;6,5
484;Henck et al., 2011, China;05-3R-11b-SAL;27,23;98,89;4608;5354;109300;30,987;94,761;2686.0;8,1;Mixed;517.0;-1.0;11.0;1,84692;No;Polar;31,41;2,62
485;Henck et al., 2011, China;05-3R-12-SAL;26,48;98,9;4574;5610;111382;30,902;94,848;4665.0;8,2;Mixed;531.0;-1.0;12.0;1,828607;No;Polar;119,52;10,79
486;Henck et al., 2011, China;05-3R-13b-SAL;25,85;98,86;4538;5843;113369;30,817;94,917;4647.0;8,4;Mixed;544.0;-1.0;12.0;1,819228;No;Polar;162,04;14,79
487;Henck et al., 2011, China;06-3R-26-MEK;31,15;97,16;4617;2485;16681,3;32,111;95,644;4646.0;7,2;Mixed;527.0;-1.0;12.0;1,557713;No;Cold;159,53;14,06
488;Henck et al., 2011, China;06-3R-27-MEK;31,15;97,18;4522;2554;37205,7;32,559;96,128;4548.0;6,7;Mixed;497.0;-1.0;12.0;0,841599;No;Cold;117,24;10,27
489;Henck et al., 2011, China;06-3R-28-MEK;30,85;97,34;4541;2683;54968,2;32,393;96,006;4570.0;6,9;Mixed;506.0;-1.0;13.0;1,065385;No;Cold;119,39;11,18
490;Henck et al., 2011, China;06-3R-29-MEK;30,77;97,34;4621;2336;6663,93;31,353;96,367;4643.0;8,3;Mixed;536.0;-1.0;14.0;1,084575;No;Cold;70,68;6,41
